=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.24 16:34:51 =~=~=~=~=~=~=~=~=~=~=~=
Smoothing factor 0.30
X, Y, Z
47, 22, -81
-29, -50, -55
45, -182, -131
-68, -111, -49
5, -223, -105
-8, -149, -204
37, -234, -143
97, -156, -31
49, -236, -169
122, -137, -286
85, -133, -84
-16, -98, -69
12, -207, 77
78, -161, 54
60, -76, 26
47, 43, -94
83, 55, 13
39, -31, 52
91, 12, -35
85, -30, -63
51, -34, 100
5, -62, 9
35, 98, -53
72, 30, -147
61, 10, -26
47, -68, -140
89, 28, 5
74, -135, -280
136, -88, -352
79, -89, -195
124, -15, -57
98, -24, 48
195, 0, -82
101, -16, -38
101, -60, -57
82, -74, -180
62, -16, -18
47, -31, 94
60, -11, 224
-11, -50, 23
35, -43, -45
29, -48, 78
65, -20, -34
68, -95, -68
21, 27, -169
42, -154, -201
76, -94, -86
58, -54, -14
113, -14, -40
64, 118, 3
217, 3, 9
174, -32, 83
110, -7, -100
51, 63, -5
68, 2, 41
204, 11, -140
112, 29, 2
78, -56, 6
5, -29, 102
9, -1, 25
34, -8, 10
9, -45, -102
16, -29, -126
56, -109, -92
59, -56, -34
59, -12, -48
114, 14, 46
88, -15, -38
77, 44, 115
33, 25, 42
47, 59, 229
57, -4, 44
40, 6, -170
3, 29, 1
0, 15, -104
172, -33, -185
124, -37, -80
71, -30, 86
-4, -70, -12
-1, -53, 58
-41, -63, 38
-9, -25, -79
13, 3, 53
-80, -25, 41
1, -29, -20
53, 49, -36
51, 28, 2
66, -12, -10
54, 64, 131
56, -2, -19
32, -53, 171
123, -89, 148
76, 16, -105
18, -33, -93
18, -188, -6
15, -100, -76
24, -43, -5
37, -25, -66
53, 26, 22
42, 53, 23
8, -1, -81
62, -12, -195
39, -109, -65
78, -31, 41
43, 12, 4
69, -13, -28
54, 26, -85
38, 82, -238
52, 41, 15
32, -134, -26
47, -142, -137
41, -41, -38
6, 26, -62
21, -10, -69
62, 22, -84
35, 49, -150
68, 3, -129
98, -70, -7
43, -19, -59
201, 5, 22
144, 42, -47
92, 20, -77
-4, 33, -97
10, -19, -158
15, -89, -105
16, -58, -17
33, -102, 115
74, -82, 136
198, -34, 112
159, 66, 101
246, -7, -1
112, -38, -83
103, 106, -154
46, 101, -199
58, 50, -136
-29, -41, -76
3, -11, -12
67, 64, 115
85, 5, 10
53, 21, 158
75, -33, -49
49, -20, 53
67, 53, 200
41, 33, -47
45, 69, -101
64, 74, -143
53, 13, 4
-10, -23, -86
17, -57, -155
186, -15, -15
63, -5, -39
30, -71, 7
-54, -10, -17
-13, -15, -34
17, -91, -108
33, -53, -184
-121, -94, -264
-10, -214, 0
-82, -88, 88
-21, -57, 109
9, -7, -116
25, -3, -108
49, -12, 7
191, -45, -12
82, 4, -13
67, -33, 141
-19, -52, 16
44, 102, 2
57, 120, 15
59, 36, -37
78, -21, -28
-19, -100, -14
34, -37, -112
-27, -61, -125
25, -79, -54
2, -10, -88
68, -18, -130
63, -40, -29
73, -44, -92
-73, 17, -74
-70, -59, -65
-9, -35, -5
-62, 11, -32
-14, -23, 9
23, 2, -131
111, 17, -58
88, -153, 66
42, -68, -25
48, -5, -217
184, 1, -38
22, -45, -47
35, 10, 8
36, -94, 56
43, -29, 72
75, -23, -6
14, 65, -66
53, 144, -135
-51, 1, -43
-1, -56, -25
23, -64, 116
78, -10, 86
56, 0, -25
35, -9, -90
51, 0, 34
55, -18, -21
-52, -27, -28
28, -3, 63
194, 61, 31
56, 64, 13
56, -11, 92
13, -25, 42
48, -12, -152
105, -26, -170
74, -12, -59
-76, 10, -22
11, -22, -257
42, 38, -207
84, -26, -153
41, -58, -69
69, -64, 21
65, -38, -10
19, -23, 66
82, 7, -78
50, -58, -22
47, -58, -238
71, -53, 1
80, 44, 167
54, 20, 112
50, -48, 0
55, 9, 130
32, -8, 47
-86, -97, -230
-2, -17, -52
13, -15, 119
-6, -46, 62
28, -16, -37
-21, -72, -62
40, -6, -90
53, -80, -44
26, -17, -19
45, -32, -59
81, -32, -102
55, -42, -71
30, 21, -157
10, -22, -187
-99, -55, -15
-55, -5, 91
17, -164, -240
69, -77, -209
46, -48, -182
-6, 51, -129
3, -125, -36
-105, -64, -13
5, -68, -83
31, 26, 29
46, 41, 70
69, -2, -2
72, -16, 73
104, -13, 15
83, -31, -177
-17, -65, -118
37, -41, 20
131, -15, -34
107, -6, -100
108, -24, -133
76, -189, -122
12, -28, -115
18, -38, 26
70, -82, 8
104, -40, -166
204, 2, 32
175, -1, 65
92, -175, 69
28, -19, -33
32, -6, -33
41, -19, -267
23, -14, -221
-100, -98, -197
3, -67, -319
162, -87, -184
50, -72, -241
203, 15, -73
158, -34, -167
82, -20, 35
17, 34, -17
36, 3, -5
65, 14, 25
89, -40, 2
49, -17, -74
23, 11, 173
35, -13, 68
-91, 16, -130
-43, -50, -30
-128, -56, -49
4, -19, 72
65, -5, 32
36, -29, -97
51, -52, -45
43, -7, -132
111, -15, 22
60, -185, -87
87, -97, -19
54, -65, 31
-78, -25, 73
-27, -65, -5
-19, -27, -67
15, 19, -9
52, 15, 138
-89, 25, 99
-8, -38, 114
21, -30, 154
115, -11, 89
92, -30, -95
42, 35, -94
60, 8, -130
47, -46, 35
39, 7, 118
49, -164, 108
72, -126, -126
65, -14, -44
-36, -12, -59
10, -165, -22
81, -65, 147
67, -48, 30
194, -20, 63
78, -38, -166
-79, -65, -250
0, -29, 0
36, -183, -78
124, -172, -170
70, -118, -163
113, -53, -4
101, -194, 0
97, -139, -21
86, -82, -64
58, -27, 59
5, -36, 83
31, 61, 51
-38, -27, 2
27, -51, -164
187, -1, -246
119, -3, -226
83, -12, -257
27, -39, -4
63, 49, -166
120, -11, -240
76, 70, -143
39, 88, -27
76, 7, 4
46, 119, -122
-20, 30, 53
38, -166, -103
-47, -146, -37
-8, 5, -227
93, -46, -152
78, -16, -134
34, -31, -141
31, -182, -4
-38, -15, -28
58, -51, -82
49, 27, -31
-36, -78, 3
22, -25, -31
31, 78, -119
27, 19, -111
195, 13, 4
98, 32, -88
69, -1, -145
55, 8, -100
57, -34, -40
82, -65, -187
50, -77, -155
77, -97, -171
86, 28, -5
82, 3, 17
121, -15, -122
102, -26, -54
79, 2, -59
74, -14, 3
40, -15, -146
37, -91, -204
38, -38, -63
33, -36, 110
76, -46, 25
70, -67, -72
77, -68, -218
64, -86, -263
99, -49, -119
63, -137, -161
155, -69, -85
97, -23, 41
-48, -40, 48
36, -19, 70
52, -61, 149
54, -36, 113
201, 1, -80
40, -72, -18
58, -46, -138
14, 23, -78
47, -29, -129
51, -69, -188
31, -36, -16
6, -4, -115
7, 32, 77
29, 128, -25
9, 37, 29
-4, -26, -47
15, -46, -63
-11, 35, -45
27, 10, -124
-8, -30, -108
0, 5, -51
30, -23, -106
79, -56, -190
53, 95, -65
68, -51, -130
74, -22, -20
222, 20, 88
165, -31, -106
-36, -54, 28
49, -73, -112
50, -116, -39
32, -91, -29
62, -196, -48
46, -173, -174
28, -94, -184
35, -99, -233
55, -55, -144
-47, -19, -124
8, -179, -77
94, -113, -112
80, -72, -107
49, -105, -192
33, -219, -147
50, -64, -79
58, -42, 26
188, -63, 12
71, -59, 116
41, -59, 126
123, -27, 96
44, -43, 14
106, -44, -73
76, -41, -42
108, -39, -97
88, -58, -32
62, -28, -151
74, -32, -253
60, -84, -28
99, -51, -6
58, -49, 46
43, -80, 163
23, -39, -44
-95, -115, -189
-6, -70, -99
-99, -110, -53
0, -33, 33
46, -11, -48
9, -11, 25
28, -19, -30
38, 44, 10
-17, -36, 23
52, -148, -54
-42, -113, -20
-13, -38, -14
-10, -68, -113
13, -179, -92
25, -70, 87
35, -70, -58
32, -97, -274
23, -64, -262
-91, -20, -74
-88, -20, -57
12, 108, 62
36, 76, 71
61, 12, 206
-42, 1, 97
-33, -33, 109
4, -53, 128
23, 15, 143
44, 127, 48
114, 21, 26
93, 10, 62
70, -38, -130
77, -24, -233
53, 26, -260
56, 32, 1
60, -132, -61
-22, -111, -95
24, -219, -150
-4, -159, -88
14, -79, -82
116, -44, -176
66, -26, -122
43, -23, -134
55, -11, -105
-50, -12, -43
-11, -6, -43
22, -14, -62
-10, 13, -158
12, -42, -86
113, -39, -254
65, -3, -153
51, -108, -109
39, -53, -160
-5, 62, -152
38, 19, -31
59, -8, -104
49, -29, -45
41, -48, 75
20, 13, 75
66, 0, -5
45, -4, 80
52, 53, -5
35, -34, 23
190, 16, 43
111, -21, 37
78, -55, 198
148, -41, 22
75, -44, -129
84, -69, -91
62, -38, -179
55, -12, 74
30, -10, 3
60, -53, -108
77, -119, -205
74, -72, -76
74, -23, -119
66, -33, -138
48, 28, -15
49, -146, 6
107, -102, 19
83, -41, -53
42, 12, -140
40, -19, -225
187, -67, -154
96, -12, -15
-69, -19, -62
37, -93, 15
44, -204, 5
76, -51, 132
71, -14, -45
56, -81, -82
38, -61, -60
38, 17, -11
-13, 73, -87
-3, 17, -74
-100, -65, 29
-17, -34, -128
182, 30, -65
117, 2, -127
66, 9, -179
48, -35, 8
54, -3, -157
64, -32, -76
76, 38, -41
64, 61, -122
-11, -34, -134
34, -54, -104
39, -4, -12
41, -146, 166
-47, -105, -45
4, -44, -158
-48, -15, -72
22, -22, -69
43, -148, 73
9, -34, 109
48, -36, 80
1, -20, 76
61, 13, 132
198, 5, 29
161, -9, 21
107, -178, 69
111, -61, 18
85, -42, -28
24, -92, -41
