=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.03.30 12:05:07 =~=~=~=~=~=~=~=~=~=~=~=
Filtered: 1Exp Smooth Fact: 0.90
X, Y, Z
9, 4, 3
34, 4, -18
36, 6, 4
25, -20, -12
24, -35, -20
5, -20, -19
17, -24, -3
4, -15, 4
-11, -10, 2
-2, 1, -10
-4, 15, 1
-15, 14, -5
-11, 5, -4
9, 22, -13
10, 20, 0
4, 20, 15
6, 2, 15
-11, 2, -2
0, -5, -11
-5, -11, -8
2, -10, -5
6, -17, 4
0, -20, 0
9, -26, -1
4, -20, 3
10, -10, -4
7, -5, -20
0, 0, 5
9, 8, -39
6, 1, -12
-1, -7, -12
1, 9, 5
15, 17, 5
-6, 3, -12
1, 4, -13
11, 3, 6
12, 0, 0
3, -7, 4
12, -12, -5
-5, -8, -1
-5, -8, 0
-10, -18, -6
3, -2, 7
-5, -2, -10
-17, 14, -5
2, 7, -23
4, 12, 9
13, 0, 18
24, -1, 0
13, -1, -1
30, -6, -10
15, -18, 1
18, -14, 14
15, -22, 4
-10, -31, -4
-6, -13, 4
-16, -9, -9
-22, 9, -22
-17, 8, -12
-10, 17, 1
7, 5, 6
-6, 11, -3
-6, 20, -5
-15, 29, -8
1, 15, 4
1, 4, 6
-1, -9, -13
0, -22, -7
9, -32, 7
15, -22, 8
21, -13, 6
30, -17, -10
27, -12, -5
15, -9, 9
-2, -6, -2
-4, 9, 5
-16, 10, -2
-24, 25, -2
-15, 35, -23
-10, 19, -11
-13, 19, 3
-5, -6, 2
0, -9, 0
6, -10, -3
9, -15, -2
6, -18, 10
4, -6, 6
7, 3, -10
14, 5, -5
9, 0, -10
0, 4, -15
8, -2, 7
3, -1, 1
-4, 13, 9
-8, 26, 5
-17, 8, -13
-34, 21, 12
-30, 8, -7
-34, 9, -38
-16, -6, -29
-7, -12, 23
3, -17, 12
24, -30, 18
43, -28, 12
40, -34, -26
34, -17, -39
28, -23, 8
41, -13, -10
22, -1, 7
13, 1, 18
-6, 29, 6
-17, 23, 0
-10, 35, 3
-17, 13, -10
-37, 4, -8
-28, 0, -4
-19, -12, 1
-10, -8, 14
-7, -8, -6
12, -20, -1
26, -16, -9
25, -1, 2
30, -1, 5
29, 5, 3
16, -6, 7
19, 7, 0
2, 2, -10
-5, 1, -6
-3, -14, -8
-3, -11, -10
-7, -9, -14
-11, -7, -5
-2, -7, 4
-10, 7, 0
-20, 3, -5
-28, 12, -9
-10, 13, 12
0, 19, 12
12, 17, -10
12, 12, -4
28, -2, -5
28, -7, 10
20, -16, 7
35, -5, -21
12, -25, -45
5, -34, 88
6, -7, -47
-4, -25, 27
-7, -7, -11
6, 3, -3
-7, 17, -12
-7, 26, -23
1, 26, 29
-7, 13, 1
-4, 11, -8
-4, 10, -1
-2, 6, 17
1, 18, 5
-8, -13, 26
17, -2, -44
19, 3, 19
16, -21, -17
14, -15, -59
3, -21, -22
4, -27, 18
10, -30, -14
11, 3, 4
-10, -9, -4
4, 13, 4
0, 13, -18
0, 20, -161
0, 40, -114
-9, 6, 64
12, 0, 13
-17, 4, 7
13, 1, -21
8, -3, -86
11, -7, -66
15, -9, -7
9, -16, 34
26, -8, 24
19, -5, 26
4, -5, 22
-4, 10, 8
-18, 5, 22
-5, 8, -9
-23, 14, -20
-15, 22, -15
-11, 13, 26
-13, 10, 22
1, 4, 1
5, -4, 3
12, -3, -14
19, -2, -21
20, 0, -17
17, -5, 9
5, -6, 8
6, -5, -9
2, 3, 7
2, 11, 0
-7, 8, 0
-20, 17, 15
2, 12, 9
-1, 3, -8
7, -5, -4
-2, 5, -7
6, -9, 1
-1, -2, 13
-9, 14, -14
5, -10, -3
-2, -14, 8
-1, -5, -23
9, -8, -24
17, -11, -16
12, -9, -1
15, -4, 5
10, -3, 8
10, 3, 17
0, 5, 0
-2, 5, 2
-10, 4, 2
-11, -14, -5
-8, 7, 12
-4, 2, 24
-3, 4, -11
-12, 4, -12
16, 4, 2
28, 9, 8
7, 2, 14
9, -7, -2
15, -27, -2
1, -13, -10
1, -7, -10
-7, -7, -4
11, -11, -14
1, 1, -4
1, 1, -10
17, 13, 7
5, 5, 3
4, 4, -16
10, -4, -31
7, -8, 29
11, -5, -24
16, -5, 11
-1, 4, 5
-2, -4, 1
-6, 2, -14
-15, -12, 0
-14, 0, 165
-2, -2, -20
6, -7, -15
-8, -15, -45
13, -20, -74
0, -5, -53
-4, 0, 24
14, -12, -2
8, 0, -8
12, 6, 18
13, 5, -10
26, -4, -3
29, 9, 0
20, -15, 6
3, -20, -11
11, -10, 3
8, -7, -5
-5, -6, -23
0, 17, -20
7, -1, 11
9, -2, 2
9, 1, -7
-1, -6, -9
-5, -3, -3
13, -14, -4
0, -3, 0
19, 8, 4
0, 8, -4
1, 10, -6
-16, 4, -3
1, 13, 5
8, 2, -11
5, 1, -7
24, 10, 0
24, -7, -8
31, -3, -9
17, -8, 1
-9, -13, -4
6, -5, 2
-18, -27, 118
-25, 2, 266
-15, -12, 244
3, 5, 19
3, 12, -77
10, 4, 30
-19, 10, -3
23, 1, -9
14, -10, 136
21, -11, 204
37, -27, -220
23, -39, -70
39, -4, -34
16, -1, -4
-3, -18, 48
7, -21, -8
-1, -18, -46
-1, -17, -46
-4, -8, -71
-5, -5, 40
-3, 4, 40
8, 6, 65
5, 19, 75
7, 8, -51
17, 17, -15
